id,name,artist,album,release_date,popularity,duration_ms,genres,album_art_url
2PcgMmmhIZA83kwIYEjR8f,Kalasala Kalasala,Thaman S,Osthe (Original Motion Picture Soundtrack),2011-10-19,62,251813,"tollywood, telugu pop, tamil dance, tamil pop, kollywood, kannada pop",https://i.scdn.co/image/ab67616d0000b2738a24475f112713e524d9a070
00DMv3gdOFGDBFZ0WuvtXn,Visiri,Darbuka Siva,Visiri (From 'Enai Noki Paayum Thota'),2018-01-01,0,311127,"tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b2739044a682ba8ba3d2e0ed6bd0
32A0uFoMdlEB1tlnktxfV9,"Kurukku Siruthvalea ( From ""Mudhalvan"")",Hariharan,Isai Sangamam,2013-06-21,45,398341,"bhajan, tamil pop, ghazal, kollywood, devotional, telugu pop",https://i.scdn.co/image/ab67616d0000b273ebfb6c09b19ca58454811a58
6LZMyXLR6hU4RkXXeFwhNd,"Uppu Karuvaadu ( From ""Mudhalvan"")",Shankar Mahadevan,A.R.Rahman's - Music Forever,2013-07-18,33,334733,"bollywood, marathi pop, bhajan, devotional, desi, tamil dance, hindi pop, tamil pop, sufi",https://i.scdn.co/image/ab67616d0000b2738aeb25ae1a3d4fbc994d969d
11SvvwLJ9ClLgNOBhADnE2,Vellai Pookal,A.R. Rahman,Kannathil Muthamittal (Original Motion Picture Soundtrack),2002-02-14,0,315977,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b27349768e1037362dedb3519b58
1hEjxkQ0vcWmrYtGlQr2IC,"Devathaiya Kandein (From ""Kadhal Kondaen"")",Harish Raghavendra,Youth Beats - Hits of A.R.Rahman and Yuvan Shankar Raja,2013-07-23,0,310612,"tamil pop, kollywood, telugu pop, tollywood",https://i.scdn.co/image/ab67616d0000b273062d3faccfcbee2ff4f250ac
5jOi67yXzjpMdl6KFNWSIe,Usure Pogudhey,A.R. Rahman,Raavanan (Original Motion Picture Soundtrack),2010-10-14,63,366506,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b2735db9a5994534b00e3ece84a9
7d1NhML57HjWc4yjis1CQX,Rasaali,A.R. Rahman,Achcham Yenbadhu Madamaiyada (Original Motion Picture Soundtrack),2016-06-20,0,338399,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b273d2c57132f48f437dc2976acc
5Gd3pzjK9F7caWRS1fMD68,Melliname,Harish Raghavendra,Shajahaan,2001-05-09,62,326008,"tamil pop, kollywood, telugu pop, tollywood",https://i.scdn.co/image/ab67616d0000b273f4ed7fcf0ad41f416974dc6d
6vztfVJ1lTWe23YMNv6Pk1,Hasili Fisiliye,Harris Jayaraj,Aadhavan (Original Motion Picture Soundtrack),2009-08-09,59,318266,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b273555862c7f059ba85617a68ee
